"'Location","'Year","'Sex","'Area","'0-4","'5-9","'10-14","'15-19","'20-24","'25-29","'30-34","'35-39","'40-44","'45-49","'50-54","'55-59","'60-64","'65-69","'70-74","'75-79","'80+","'Total"
"Less developed regions","2005","Female","Rural","167,647","160,512","159,266","146,965","125,914","111,514","107,776","98,597","86,427","73,341","65,555","50,137","39,981","33,444","25,534","16,576","14,714","1,483,898"
"Less developed regions","2010","Female","Rural","169,170","157,294","146,991","136,686","132,488","116,340","102,340","98,078","93,294","81,331","68,198","61,103","45,588","34,659","26,925","18,595","17,291","1,506,369"
"Less developed regions","2015","Female","Rural","168,216","156,809","143,523","128,123","123,904","121,755","108,463","95,852","93,237","86,157","75,227","63,743","54,886","39,040","27,637","19,506","19,005","1,525,086"
"Least developed countries","1980","Female","Rural","29,625","23,710","19,753","16,476","13,589","11,253","9,549","8,285","7,055","6,052","5,166","4,277","3,372","2,503","1,681","962","570","163,879"
"Least developed countries","1985","Female","Rural","32,889","26,625","21,958","18,301","15,387","12,707","10,481","8,850","7,706","6,433","5,561","4,604","3,694","2,738","1,881","1,077","693","181,585"
"Least developed countries","1990","Female","Rural","35,656","29,905","24,717","20,302","17,191","14,535","11,968","9,760","8,356","7,145","6,021","5,037","4,059","3,073","2,120","1,240","819","201,904"
"Least developed countries","1995","Female","Rural","38,670","32,908","28,027","23,114","19,353","16,514","13,880","11,376","9,343","7,869","6,810","5,564","4,515","3,453","2,437","1,434","987","226,252"
"Least developed countries","2000","Female","Rural","42,036","35,934","30,864","26,301","21,951","18,532","15,672","13,058","10,745","8,763","7,462","6,282","4,955","3,846","2,727","1,667","1,162","251,957"
"Least developed countries","2005","Female","Rural","44,641","39,075","33,511","28,342","24,682","20,865","17,436","14,589","12,273","10,033","8,320","6,901","5,608","4,229","3,053","1,875","1,385","276,818"
"Least developed countries","2010","Female","Rural","46,661","41,535","36,201","30,532","26,374","23,466","19,581","16,254","13,719","11,471","9,565","7,712","6,138","4,747","3,370","2,128","1,643","301,096"
"Least developed countries","2015","Female","Rural","48,532","43,468","38,221","32,774","28,539","25,120","22,276","18,399","15,414","12,908","11,060","8,918","6,926","5,294","3,858","2,377","1,917","326,000"
"Africa","1980","Female","Rural","32,659","25,983","21,176","17,581","14,537","12,142","10,150","8,586","7,444","6,511","5,557","4,595","3,666","2,762","1,871","1,075","652","176,947"
"Africa","1985","Female","Rural","36,262","29,504","23,893","19,536","16,146","13,601","11,369","9,467","8,110","6,971","6,109","5,050","4,084","3,071","2,077","1,211","763","197,223"
"Africa","1990","Female","Rural","39,321","32,852","26,954","21,875","17,870","15,100","12,749","10,560","8,983","7,574","6,543","5,537","4,510","3,441","2,337","1,361","886","218,452"
"Africa","1995","Female","Rural","41,907","35,790","30,108","24,893","20,261","16,914","14,241","11,994","10,065","8,476","7,203","6,012","5,012","3,852","2,659","1,558","1,022","241,967"
"Africa","2000","Female","Rural","45,650","38,427","32,831","28,003","23,052","18,927","15,661","13,222","11,370","9,526","8,103","6,629","5,398","4,275","2,978","1,804","1,195","267,050"
"Africa","2005","Female","Rural","49,512","41,680","34,846","30,258","26,053","21,567","17,450","14,424","12,390","10,670","9,024","7,423","5,899","4,646","3,365","2,082","1,425","292,714"
"Africa","2010","Female","Rural","53,596","45,322","37,762","32,235","28,182","24,364","19,900","16,155","13,572","11,635","10,093","8,223","6,577","5,064","3,657","2,360","1,738","320,435"
"Africa","2015","Female","Rural","57,052","49,266","40,863","34,681","29,918","26,410","22,733","18,639","15,372","12,804","11,104","9,287","7,377","5,763","4,051","2,578","1,996","349,895"
"Eastern Africa","1980","Female","Rural","12,249","9,613","7,762","6,329","5,245","4,417","3,711","3,060","2,578","2,273","1,863","1,528","1,186","894","605","366","228","63,907"
"Eastern Africa","1985","Female","Rural","13,807","11,166","9,023","7,185","5,883","4,976","4,215","3,499","2,901","2,417","2,123","1,689","1,353","981","676","396","269","72,558"
"Eastern Africa","1990","Female","Rural","15,527","12,710","10,444","8,270","6,682","5,593","4,768","3,968","3,349","2,700","2,250","1,913","1,501","1,126","755","450","306","82,312"
"Eastern Africa","1995","Female","Rural","16,744","14,088","11,739","9,524","7,661","6,305","5,230","4,449","3,680","3,072","2,481","2,013","1,681","1,244","861","504","346","91,622"
"Eastern Africa","2000","Female","Rural","19,214","15,879","13,460","11,017","8,873","7,206","5,847","4,849","4,110","3,422","2,867","2,269","1,803","1,449","981","619","418","104,283"
"Eastern Africa","2005","Female","Rural","21,288","18,141","14,986","12,355","10,164","8,326","6,697","5,377","4,430","3,826","3,210","2,644","2,054","1,564","1,161","698","517","117,440"
"Eastern Africa","2010","Female","Rural","23,304","20,182","17,029","13,668","11,312","9,567","7,823","6,252","4,983","4,178","3,638","2,993","2,426","1,803","1,271","843","626","131,898"
"Eastern Africa","2015","Female","Rural","25,003","22,180","18,869","15,424","12,622","10,790","9,236","7,505","5,939","4,755","4,013","3,416","2,766","2,147","1,483","935","757","147,842"
"Burundi","1980","Female","Rural","376","272","236","218","198","164","112","93","80","70","59","50","41","31","21","12","8","2,042"
"Burundi","1985","Female","Rural","457","336","254","225","210","191","156","105","87","74","64","53","44","34","24","14","9","2,335"
"Burundi","1990","Female","Rural","533","413","317","244","217","200","180","145","97","80","68","59","47","37","26","16","11","2,691"
"Burundi","1995","Female","Rural","553","483","396","299","218","187","173","158","129","86","71","61","51","39","28","17","12","2,962"
"Burundi","2000","Female","Rural","554","507","460","363","258","180","155","140","129","104","69","57","49","40","30","19","13","3,129"
"Burundi","2005","Female","Rural","619","522","492","442","354","253","180","155","136","123","97","63","52","41","32","20","16","3,595"
"Burundi","2010","Female","Rural","766","589","506","477","439","344","245","183","160","134","119","90","58","45","33","22","18","4,228"
"Burundi","2015","Female","Rural","896","724","569","479","457","414","328","239","176","152","127","110","82","50","36","23","19","4,880"
"Comoros","1980","Female","Rural","22","17","14","12","11","9","6","6","5","4","4","3","3","2","1","1","0","121"
"Comoros","1985","Female","Rural","25","20","16","13","12","10","8","6","5","5","4","3","3","2","2","1","1","135"
"Comoros","1990","Female","Rural","25","23","18","15","13","11","9","8","6","5","4","3","3","2","2","1","1","149"
"Comoros","1995","Female","Rural","26","23","22","17","15","13","11","9","7","5","5","4","3","2","2","1","1","167"
"Comoros","2000","Female","Rural","31","24","22","21","18","15","12","11","9","7","5","4","4","3","2","1","1","190"
"Comoros","2005","Female","Rural","36","29","23","21","21","17","14","12","10","8","7","4","4","3","2","1","1","216"
"Comoros","2010","Female","Rural","40","34","27","22","22","21","17","14","12","10","8","6","4","3","3","1","1","245"
"Comoros","2015","Female","Rural","42","37","32","26","22","21","20","16","14","11","9","7","6","3","3","2","1","274"
"Djibouti","1980","Female","Rural","10","7","6","5","4","3","3","2","2","2","1","1","1","1","0","0","0","50"
"Djibouti","1985","Female","Rural","9","8","7","6","5","4","3","3","2","2","2","1","1","1","0","0","0","53"
"Djibouti","1990","Female","Rural","13","10","9","7","6","5","4","3","3","2","2","2","1","1","1","0","0","71"
"Djibouti","1995","Female","Rural","13","12","9","8","7","6","5","4","3","3","2","2","1","1","1","0","0","79"
"Djibouti","2000","Female","Rural","12","12","12","8","8","6","5","5","4","3","3","2","2","1","1","1","0","85"
"Djibouti","2005","Female","Rural","12","11","12","11","8","7","6","5","4","4","3","2","2","1","1","1","0","90"
"Djibouti","2010","Female","Rural","13","11","10","10","10","7","7","6","5","4","3","3","2","2","1","1","1","96"
"Djibouti","2015","Female","Rural","13","12","10","9","9","9","7","7","5","5","4","3","2","2","1","1","1","102"
"Eritrea","1980","Female","Rural","193","159","133","109","89","74","68","54","44","36","28","22","16","11","6","3","2","1,050"
"Eritrea","1985","Female","Rural","224","184","153","128","106","88","73","66","52","41","33","25","18","12","7","4","2","1,217"
"Eritrea","1990","Female","Rural","257","214","177","145","121","101","84","69","62","48","38","29","21","14","8","4","3","1,394"
"Eritrea","1995","Female","Rural","265","242","202","151","110","90","78","68","57","53","41","31","23","15","9","5","3","1,442"
"Eritrea","2000","Female","Rural","280","256","234","191","143","105","86","75","65","54","49","37","27","19","11","6","4","1,642"
"Eritrea","2005","Female","Rural","344","274","248","231","200","155","114","92","78","66","54","47","33","23","14","8","5","1,987"
"Eritrea","2010","Female","Rural","400","334","262","234","222","197","154","112","90","75","63","50","42","28","18","10","7","2,296"
"Eritrea","2015","Female","Rural","439","386","317","244","222","217","194","151","109","87","72","58","45","35","22","12","9","2,620"
"Ethiopia","1980","Female","Rural","3,072","2,315","1,774","1,442","1,258","1,119","1,001","836","685","600","462","403","299","232","147","96","52","15,793"
"Ethiopia","1985","Female","Rural","3,514","2,730","2,165","1,661","1,393","1,227","1,087","937","807","638","558","413","355","241","172","92","62","18,053"
"Ethiopia","1990","Female","Rural","4,097","3,211","2,538","1,995","1,641","1,386","1,229","1,024","945","751","598","498","370","289","184","111","69","20,935"
"Ethiopia","1995","Female","Rural","4,732","3,749","3,079","2,414","1,959","1,638","1,365","1,205","998","892","707","548","451","311","225","121","82","24,477"
"Ethiopia","2000","Female","Rural","5,474","4,386","3,538","2,937","2,290","1,877","1,548","1,262","1,116","906","816","642","483","380","243","154","96","28,148"
"Ethiopia","2005","Female","Rural","5,877","5,168","4,130","3,268","2,744","2,172","1,798","1,479","1,194","1,054","843","750","574","413","305","172","124","32,065"
"Ethiopia","2010","Female","Rural","6,014","5,562","4,835","3,854","3,022","2,595","2,053","1,727","1,415","1,158","1,000","788","682","498","338","222","159","35,922"
"Ethiopia","2015","Female","Rural","6,237","5,683","5,139","4,465","3,636","2,884","2,507","1,982","1,662","1,354","1,092","929","713","592","410","247","194","39,728"
"Kenya","1980","Female","Rural","1,422","1,153","923","731","556","447","337","244","228","212","174","137","112","88","66","44","34","6,907"
"Kenya","1985","Female","Rural","1,677","1,389","1,133","880","670","540","448","335","241","223","207","166","128","99","72","48","39","8,295"
"Kenya","1990","Female","Rural","1,869","1,640","1,364","1,078","804","649","541","444","330","236","217","198","155","114","82","52","44","9,816"
"Kenya","1995","Female","Rural","1,902","1,820","1,601","1,290","978","776","649","536","438","324","230","208","185","138","94","60","48","11,276"
"Kenya","2000","Female","Rural","2,075","1,846","1,771","1,499","1,139","903","731","606","506","418","309","218","193","163","113","68","54","12,612"
"Kenya","2005","Female","Rural","2,385","2,018","1,790","1,650","1,317","1,056","842","661","554","478","400","293","202","171","134","83","62","14,096"
"Kenya","2010","Female","Rural","2,634","2,327","1,952","1,648","1,422","1,222","1,015","783","613","524","457","380","272","180","141","99","75","15,746"
"Kenya","2015","Female","Rural","2,756","2,585","2,253","1,789","1,406","1,329","1,209","984","755","590","506","438","356","245","149","106","91","17,546"
"Madagascar","1980","Female","Rural","693","550","439","365","305","252","183","153","137","121","98","74","53","44","39","21","12","3,539"
"Madagascar","1985","Female","Rural","709","617","506","410","342","285","235","167","141","129","113","88","66","43","33","25","16","3,926"
"Madagascar","1990","Female","Rural","844","629","563","470","382","318","265","214","154","132","120","101","77","53","32","21","19","4,395"
"Madagascar","1995","Female","Rural","962","759","577","525","441","358","298","242","199","146","125","108","91","64","41","21","18","4,978"
"Madagascar","2000","Female","Rural","1,093","888","708","546","502","422","343","278","230","192","140","114","99","75","50","27","19","5,727"
"Madagascar","2005","Female","Rural","1,169","1,016","826","665","519","477","402","318","263","224","185","129","105","83","59","33","23","6,494"
"Madagascar","2010","Female","Rural","1,227","1,072","924","758","617","482","445","363","294","251","213","167","117","87","64","39","28","7,146"
"Madagascar","2015","Female","Rural","1,315","1,124","968","843","700","572","449","400","336","282","240","192","153","97","68","42","34","7,816"
"Malawi","1980","Female","Rural","565","430","351","298","241","203","193","148","123","102","84","67","56","38","24","15","8","2,948"
"Malawi","1985","Female","Rural","631","517","401","343","281","230","194","186","142","118","97","78","60","46","29","15","9","3,376"
"Malawi","1990","Female","Rural","756","623","530","426","357","327","281","227","200","146","117","94","75","57","42","23","11","4,294"
"Malawi","1995","Female","Rural","800","632","501","477","383","319","275","229","183","168","124","100","81","64","47","30","16","4,428"
"Malawi","2000","Female","Rural","883","749","593","484","437","342","277","240","204","168","155","115","91","70","51","32","20","4,913"
"Malawi","2005","Female","Rural","985","843","723","576","462","407","305","240","211","187","158","148","107","82","57","36","24","5,551"
"Malawi","2010","Female","Rural","1,167","948","818","691","550","438","386","279","214","193","176","152","139","97","68","42","28","6,386"
"Malawi","2015","Female","Rural","1,237","1,125","921","776","660","526","427","367","257","198","183","170","144","128","82","50","33","7,283"
"Mauritius","1980","Female","Rural","33","34","34","32","29","25","21","16","13","11","9","8","6","4","3","2","1","281"
"Mauritius","1985","Female","Rural","31","31","33","35","30","27","24","19","15","12","10","8","7","5","4","2","2","294"
"Mauritius","1990","Female","Rural","29","29","30","32","32","27","24","20","17","14","11","9","7","6","4","3","2","296"
"Mauritius","1995","Female","Rural","33","28","29","30","32","32","27","22","20","17","14","11","8","6","5","3","3","320"
"Mauritius","2000","Female","Rural","30","32","28","30","33","28","29","28","25","21","16","11","9","7","6","4","3","341"
"Mauritius","2005","Female","Rural","28","29","31","29","29","33","28","27","28","25","21","16","10","8","6","5","5","356"
"Mauritius","2010","Female","Rural","24","28","28","31","29","28","32","26","26","28","24","20","16","10","7","5","6","368"
"Mauritius","2015","Female","Rural","22","24","28","29","32","30","29","30","26","26","28","23","19","15","9","6","7","382"
"Mayotte","1980","Female","Rural","4","3","3","2","1","1","1","1","1","1","0","0","0","0","0","0","0","19"
"Mayotte","1985","Female","Rural","5","4","3","2","2","1","1","1","1","1","1","0","0","0","0","0","0","23"
"Mayotte","1990","Female","Rural","6","5","4","3","2","2","2","1","1","1","1","1","0","0","0","0","0","29"
"Mayotte","1995","Female","Rural","6","6","5","4","3","2","2","2","1","1","1","1","1","0","0","0","0","35"
"Mayotte","2000","Female","Rural","7","6","5","4","3","2","2","2","1","1","1","1","1","1","0","0","0","39"
"Mayotte","2005","Female","Rural","7","6","6","5","4","3","3","2","2","1","1","1","1","1","0","0","0","43"
"Mayotte","2010","Female","Rural","11","10","6","4","3","3","4","3","2","2","1","1","1","1","0","0","0","52"
"Mayotte","2015","Female","Rural","10","11","9","5","4","4","4","4","4","3","2","1","1","1","0","0","0","62"
"Mozambique","1980","Female","Rural","944","760","635","535","459","392","341","298","249","213","179","147","117","85","56","31","18","5,460"
"Mozambique","1985","Female","Rural","973","823","684","558","464","397","342","303","261","222","188","156","125","92","60","34","21","5,703"
"Mozambique","1990","Female","Rural","911","813","681","547","431","346","294","261","237","212","183","152","124","91","62","35","22","5,402"
"Mozambique","1995","Female","Rural","1,057","847","675","622","585","478","370","307","255","221","195","162","130","99","67","38","24","6,133"
"Mozambique","2000","Female","Rural","1,191","947","748","649","609","560","439","355","285","242","206","177","141","110","74","44","29","6,806"
"Mozambique","2005","Female","Rural","1,446","1,098","855","716","618","573","505","406","316","268","225","189","157","123","85","52","36","7,669"
"Mozambique","2010","Female","Rural","1,576","1,338","979","800","683","600","523","452","350","297","255","211","172","138","96","61","45","8,576"
"Mozambique","2015","Female","Rural","1,663","1,460","1,179","904","765","675","554","466","384","328","286","241","193","152","109","70","54","9,484"
"Réunion","1980","Female","Rural","13","15","17","15","11","9","6","6","6","5","4","4","3","3","2","1","1","122"
"Réunion","1985","Female","Rural","10","10","10","11","9","7","6","5","4","4","4","3","3","2","2","1","1","92"
"Réunion","1990","Female","Rural","7","6","6","6","6","5","4","4","3","2","2","2","2","1","1","1","1","59"
"Réunion","1995","Female","Rural","5","5","4","4","4","4","4","4","3","2","2","2","1","1","1","1","1","48"
"Réunion","2000","Female","Rural","4","4","4","3","3","3","3","3","3","2","2","1","1","1","1","1","1","38"
"Réunion","2005","Female","Rural","3","3","3","3","2","2","2","2","2","2","2","1","1","1","1","1","1","31"
"Réunion","2010","Female","Rural","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","0","1","26"
"Réunion","2015","Female","Rural","2","2","2","2","2","2","2","1","1","2","2","1","1","1","1","0","1","23"
"Rwanda","1980","Female","Rural","512","380","304","259","230","188","143","94","82","82","72","52","35","29","21","12","8","2,503"
"Rwanda","1985","Female","Rural","618","476","369","291","246","218","179","135","89","77","77","66","47","30","22","14","9","2,963"
"Rwanda","1990","Female","Rural","689","574","462","358","284","238","209","170","128","84","71","70","59","39","23","15","11","3,485"
"Rwanda","1995","Female","Rural","318","417","416","334","254","199","164","148","117","88","53","44","41","33","18","10","4","2,658"
"Rwanda","2000","Female","Rural","732","486","518","453","333","248","190","187","154","133","92","53","42","46","25","33","15","3,741"
"Rwanda","2005","Female","Rural","644","672","456","464","411","301","225","172","168","138","118","81","46","35","35","17","23","4,008"
"Rwanda","2010","Female","Rural","711","605","632","404","418","374","280","213","162","156","126","106","72","39","28","25","19","4,371"
"Rwanda","2015","Female","Rural","729","673","568","552","361","381","352","270","204","152","143","114","96","62","32","20","22","4,734"
"Seychelles","1980","Female","Rural","2","2","2","2","1","1","1","1","1","1","1","1","1","1","0","0","0","17"
"Seychelles","1985","Female","Rural","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","0","0","18"
"Seychelles","1990","Female","Rural","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","0","0","18"
"Seychelles","1995","Female","Rural","2","2","2","2","1","1","2","1","1","1","1","1","1","1","1","0","1","20"
"Seychelles","2000","Female","Rural","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","0","1","20"
"Seychelles","2005","Female","Rural","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","0","1","22"
"Seychelles","2010","Female","Rural","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","0","1","22"
"Seychelles","2015","Female","Rural","2","2","2","1","1","1","2","2","2","2","2","1","1","1","0","0","1","22"
"Somalia","1980","Female","Rural","405","326","272","220","180","155","134","113","103","85","75","63","52","40","27","15","9","2,274"
"Somalia","1985","Female","Rural","408","322","265","214","174","150","132","112","95","86","70","59","49","38","26","15","10","2,225"
"Somalia","1990","Female","Rural","434","335","266","212","175","150","130","113","98","82","74","57","48","37","26","15","10","2,262"
"Somalia","1995","Female","Rural","442","337","262","205","167","143","123","107","94","80","66","58","44","34","24","14","9","2,209"
"Somalia","2000","Female","Rural","524","397","304","230","181","154","134","117","101","88","75","60","51","36","26","16","11","2,502"
"Somalia","2005","Female","Rural","568","468","351","257","198","165","144","127","109","94","83","67","52","42","27","17","12","2,783"
"Somalia","2010","Female","Rural","623","505","408","290","218","180","154","135","117","101","88","74","59","43","32","18","13","3,060"
"Somalia","2015","Female","Rural","675","566","446","339","249","202","172","148","128","112","97","81","66","50","33","22","15","3,400"
"South Sudan","1980","Female","Rural","390","310","262","217","176","142","136","122","102","86","69","54","41","29","18","9","5","2,167"
"South Sudan","1985","Female","Rural","439","352","301","254","209","171","138","131","117","98","81","63","48","34","22","11","6","2,476"
"South Sudan","1990","Female","Rural","461","355","301","255","216","180","147","117","112","100","83","67","51","35","23","12","7","2,521"
"South Sudan","1995","Female","Rural","424","337","269","228","194","166","138","113","89","86","76","61","48","34","22","12","7","2,303"
"South Sudan","2000","Female","Rural","500","416","343","272","231","200","170","142","115","91","87","75","58","44","28","15","9","2,797"
"South Sudan","2005","Female","Rural","573","495","421","343","274","235","204","173","143","116","92","85","71","53","36","20","13","3,347"
"South Sudan","2010","Female","Rural","673","590","515","432","355","289","248","212","179","148","120","93","84","67","46","27","18","4,096"
"South Sudan","2015","Female","Rural","784","690","608","521","442","371","303","257","219","185","153","121","92","79","58","35","24","4,943"
"Uganda","1980","Female","Rural","1,138","895","736","588","481","406","324","269","206","205","171","138","104","75","50","29","18","5,832"
"Uganda","1985","Female","Rural","1,321","1,034","840","678","549","457","388","308","254","193","192","157","122","88","57","33","21","6,692"
"Uganda","1990","Female","Rural","1,566","1,228","989","782","642","530","444","373","295","242","184","180","142","105","69","39","26","7,834"
"Uganda","1995","Female","Rural","1,867","1,471","1,180","926","748","621","509","416","343","273","226","170","161","121","83","47","31","9,195"
"Uganda","2000","Female","Rural","2,163","1,755","1,405","1,097","882","719","587","463","369","308","251","207","151","137","97","58","38","10,686"
"Uganda","2005","Female","Rural","2,526","2,053","1,672","1,294","1,041","849","686","541","419","336","285","231","186","131","112","68","48","12,477"
"Uganda","2010","Female","Rural","2,879","2,397","1,940","1,516","1,212","998","816","643","503","390","315","263","209","162","108","80","60","14,491"
"Uganda","2015","Female","Rural","3,222","2,745","2,263","1,748","1,417","1,170","974","781","614","478","373","296","241","184","135","78","73","16,790"
"United Republic of Tanzania","1980","Female","Rural","1,552","1,241","1,015","801","656","540","473","395","331","274","229","183","145","107","71","41","26","8,078"
"United Republic of Tanzania","1985","Female","Rural","1,740","1,429","1,168","915","745","619","512","452","375","309","259","208","165","123","83","48","31","9,183"
"United Republic of Tanzania","1990","Female","Rural","1,949","1,614","1,346","1,045","849","704","588","490","431","352","295","237","190","142","96","56","38","10,422"
"United Republic of Tanzania","1995","Female","Rural","2,182","1,854","1,553","1,223","991","814","672","567","474","411","343","275","221","167","114","68","46","11,977"
"United Republic of Tanzania","2000","Female","Rural","2,394","2,032","1,732","1,361","1,125","916","737","609","519","435","389","311","251","192","132","79","55","13,270"
"United Republic of Tanzania","2005","Female","Rural","2,710","2,230","1,873","1,479","1,230","1,031","819","650","541","466","409","352","284","219","153","93","67","14,605"
"United Republic of Tanzania","2010","Female","Rural","3,072","2,538","2,039","1,557","1,314","1,124","938","741","586","484","440","370","325","251","177","111","82","16,147"
"United Republic of Tanzania","2015","Female","Rural","3,302","2,902","2,316","1,659","1,370","1,203","1,040","879","695","535","465","401","346","290","206","131","101","17,841"
"Zambia","1980","Female","Rural","328","269","219","179","133","107","105","91","81","74","64","54","43","33","22","13","8","1,826"
"Zambia","1985","Female","Rural","374","318","259","214","166","133","113","103","92","83","73","61","51","37","26","15","10","2,129"
"Zambia","1990","Female","Rural","430","355","302","251","204","162","127","105","105","91","80","68","56","43","30","18","12","2,441"
"Zambia","1995","Female","Rural","519","415","350","302","246","198","153","122","104","96","84","72","60","46","33","19","14","2,832"
"Zambia","2000","Female","Rural","646","492","409","346","302","247","193","143","110","93","89","76","64","50","36","22","15","3,332"
"Zambia","2005","Female","Rural","727","574","451","369","315","276","220","162","117","94","86","81","67","53","40","25","18","3,676"
"Zambia","2010","Female","Rural","793","644","523","405","334","291","256","198","143","107","94","81","74","58","43","28","21","4,093"
"Zambia","2015","Female","Rural","907","704","586","469","368","315","280","243","185","138","112","92","76","65","47","31","25","4,643"
"Zimbabwe","1980","Female","Rural","573","474","387","299","224","181","121","119","100","89","81","65","59","42","29","20","15","2,879"
"Zimbabwe","1985","Female","Rural","640","563","456","346","268","218","176","126","119","101","89","78","61","54","34","23","18","3,367"
"Zimbabwe","1990","Female","Rural","648","632","539","398","298","252","204","179","125","119","100","85","72","56","44","27","21","3,798"
"Zimbabwe","1995","Female","Rural","636","647","608","460","325","259","212","191","165","120","114","94","79","67","46","36","25","4,083"
"Zimbabwe","2000","Female","Rural","622","641","625","518","376","277","202","182","163","154","113","107","86","73","55","38","33","4,267"
"Zimbabwe","2005","Female","Rural","627","632","621","529","417","312","199","151","133","141","142","104","98","80","60","46","37","4,329"
"Zimbabwe","2010","Female","Rural","677","649","620","531","438","371","249","157","109","112","131","135","97","92","67","50","44","4,531"
"Zimbabwe","2015","Female","Rural","750","725","653","563","498","466","386","278","164","116","118","134","133","96","80","57","52","5,270"
"Middle Africa","1980","Female","Rural","3,458","2,702","2,214","1,814","1,568","1,376","1,190","1,010","899","791","698","592","484","375","255","147","90","19,663"
"Middle Africa","1985","Female","Rural","3,938","3,051","2,473","2,015","1,751","1,528","1,308","1,078","970","851","754","644","528","412","282","165","103","21,852"
"Middle Africa","1990","Female","Rural","4,442","3,479","2,776","2,231","1,945","1,711","1,457","1,182","1,043","926","824","706","584","460","316","187","118","24,386"
