PART,ORDER,INDICATOR1,INDICATOR2,INDICATOR3,SERIES_NAME_SHORT,MULTIPLIER,DIGITS,SERIES_NAME_SHORT_RU,PART_RU
Hunger and dietary quality dimensions,24,obesity,NA,NA,"Obesity, adults (M/F, %)",NA,1,"????????, ?????????? ?? ???????? (?/?, %)",??????? ?????? ? ??????? ???????
Hunger and dietary quality dimensions,25,SH.ANM.ALLW.ZS,NA,NA,"Anemia, women aged 15 to 49 (%)",NA,1,"Anemia, women aged 15 to 49 (%)",??????? ?????? ? ??????? ???????
Hunger and dietary quality dimensions,26,SH.STA.BFED.ZS,NA,NA,"Exclusive breastfeeding, infants (%)",NA,1,"Exclusive breastfeeding, infants (%)",??????? ?????? ? ??????? ???????
Hunger and dietary quality dimensions,27,SH.XPD.TOTL.ZS,NA,NA,"Health expenditure, total (% of GDP)",NA,1,??????? ?? ??????????????? (% ?? ???),??????? ?????? ? ??????? ???????
Hunger and dietary quality dimensions,28,SH.XPD.PCAP,NA,NA,"Health expenditure per capita, PPP ($)",NA,0,"??????? ?? ??????????????? ?? ???? ?????????, ?? ??? (? ????. ???)",??????? ?????? ? ??????? ???????
Hunger and dietary quality dimensions,29,SH.H2O.SAFE.ZS,NA,NA,Improved water source (% pop),NA,1,?????? ? ?????????? ?????????? ???? (% ?????????),??????? ?????? ? ??????? ???????
Food Supply,30,QV.NPV.FOOD.ID.NO,NA,NA,"Food Production Value, (2004-2006 mln I$)",1.00E+06,0," ????????? ????????????????? ?????????, (? ??? ????. ????. 2004-2006 ??.)",????????????????? ?????????
Food Supply,31,NV.AGR.TOTL.ZS,NA,NA,"Agriculture, value added (% GDP)",NA,1,??????????? ????????? ? ???????? ????????? (% ???),????????????????? ?????????
Production indices (2004-06=100),32,QI.NPIN.FOOD.IN.NO,NA,NA,Net food,NA,0,?????? ???????????? ??????????????,??????? ???????????? (2004-06 ??.=100)
Production indices (2004-06=100),33,QI.NPIN.CRPS.IN.NO,NA,NA,Net crop,NA,0,?????? ???????????? ???????????????????? ???????,??????? ???????????? (2004-06 ??.=100)
Production indices (2004-06=100),34,QI.NPIN.CRLS.IN.NO,NA,NA,Cereal,NA,0,???????????? ????????,??????? ???????????? (2004-06 ??.=100)
Food Supply,35,FBS.IDR.CRLS.PCT3D,NA,NA,Cereal import dependency ratio (%),NA,1,??????????? ??????????? ?? ??????? ???????? (%),????????????????? ?????????
Food Supply,36,TP.EXVAL.FOOD.USD.NO,NA,NA,Food exports (mln US$) ,1.00E+06,0,??????? ?????????????? (??? ????. ???),????????????????? ?????????
Food Supply,37,TP.IMVAL.FOOD.USD.NO,NA,NA,Food imports (mln US$) ,1.00E+06,0,?????? ?????????????? (??? ????. ???),????????????????? ?????????
Net trade (mln US\$),38,TP.NETVAL.CRLSPREP.USD.NO,NA,NA,Cereals,1.00E+06,0,????????,?????? ???????????? (??? ????. ???)
Net trade (mln US\$),39,TP.NETVAL.FV.USD.NO,NA,NA,Fruit and vegetables,1.00E+06,0,?????? ? ?????,?????? ???????????? (??? ????. ???)
Net trade (mln US\$),40,TP.NETVAL.MEATPREP.USD.NO,NA,NA,Meat,1.00E+06,0,????,?????? ???????????? (??? ????. ???)
Net trade (mln US\$),41,TP.NETVAL.MILKEQ.USD.NO,NA,NA,Dairy products,1.00E+06,0,???????? ????????,?????? ???????????? (??? ????. ???)
Net trade (mln US\$),42,net_fish_trade,NA,NA,Fish,1000,0,????,?????? ???????????? (??? ????. ???)
Environment,43,RL.AREA.FOR.HA.SH,NA,NA,Forest area (%),0.01,1,??????? ????? (%),?????????? ?????
Environment,44,AQ.WAT.RFRWTOT.MC.SH,NA,NA,Renewable water res withdrawn (% of total),NA,1,????? ???? ?? ?????????????? ?????????? (% ?? ?????? ??????),?????????? ?????
Environment,45,ER.LND.PTLD.ZS,NA,NA,Terrestrial protect areas (% total land area) ,NA,1,???????? ?????. ??????. ?????????? (% ?? ????? ??. ?????),?????????? ?????
Environment,46,RL.AREA.AGRORG.HA.SH,NA,NA,Organic area (% total agricultural area),0.01,1,???????????? ????? (% ???????????????????? ??????),?????????? ?????
Environment,47,BP.TP.GP.TJ.NO,NA,NA,Biofuel production (thousand kt of oil eq.),1000,0,???????????? ?????????? (???. ?? ????????? ???????????),?????????? ?????
Environment,48,FO.WP.PQ.TN.NO,NA,NA,Wood pellet prod. (mln tonnes),1000,0,???????????? ????????? ?????? (??? ????),?????????? ?????
Environment,49,GHG.AFOLU.TOT.ECO2EQ.NO,NA,NA,"Net GHG emissions from AFOLU (CO2 eq, Mt)",1000,0,"?????? ??????? ?????????? ????? ?? ??????? (??2-???, ??)",?????????? ?????
